Season,LC_Class,Mean_NSSR,StdDev_NSSR,Pixel_Count
Winter,Forest,318.10198974609375,12.613017082214355,317878
Winter,Shrubland,304.40533447265625,16.017759323120117,15
Winter,Grassland,303.1396789550781,15.215249061584473,27750
Winter,Cropland,304.6060791015625,11.206429481506348,97065
Winter,Buildings,318.7890930175781,15.096273422241211,738643
Winter,Bareland,304.9795837402344,21.485965728759766,6164
Winter,SnowIce,,,0
Winter,Water,337.02667236328125,11.163858413696289,18179
Spring,Forest,467.3206481933594,13.476398468017578,317879
Spring,Shrubland,445.5469970703125,8.851580619812012,15
Spring,Grassland,448.3650817871094,15.345195770263672,27750
Spring,Cropland,449.03717041015625,10.741124153137207,97065
Spring,Buildings,464.4886474609375,13.219437599182129,738646
Spring,Bareland,449.1684265136719,18.071809768676758,6164
Spring,SnowIce,,,0
Spring,Water,496.37261962890625,13.4295015335083,18179
Summer,Forest,558.294921875,23.11454200744629,317878
Summer,Shrubland,544.8674926757812,20.628196716308594,15
Summer,Grassland,550.8639526367188,26.76055145263672,27750
Summer,Cropland,547.254638671875,24.44538688659668,97065
Summer,Buildings,562.5430297851562,26.613998413085938,738643
Summer,Bareland,546.9940185546875,39.49241638183594,6164
Summer,SnowIce,,,0
Summer,Water,622.3549194335938,22.488811492919922,18179
Autumn,Forest,331.625,13.802543640136719,317876
Autumn,Shrubland,318.4405517578125,17.87929344177246,15
Autumn,Grassland,317.5952453613281,17.577070236206055,27750
Autumn,Cropland,318.3422546386719,13.088221549987793,97065
Autumn,Buildings,332.28076171875,16.808273315429688,738626
Autumn,Bareland,318.9741516113281,24.745065689086914,6164
Autumn,SnowIce,,,0
Autumn,Water,359.7428283691406,9.792407035827637,18179
