LC_Class,Seasonal_Min,Seasonal_Max,Amplitude,Mean_Across_Seasons,CV_Across_Seasons
Water,337.02667236328125,622.3549194335938,285.3282470703125,453.87425994873047,0.2529089416054365
Grassland,303.1396789550781,550.8639526367188,247.72427368164062,404.9909896850586,0.2505101359213643
Buildings,318.7890930175781,562.5430297851562,243.75393676757812,419.52538299560547,0.2390642650117172
Cropland,304.6060791015625,547.254638671875,242.6485595703125,404.8100357055664,0.24629967860480917
Bareland,304.9795837402344,546.9940185546875,242.01443481445312,405.02904510498047,0.24540281818839624
Shrubland,304.40533447265625,544.8674926757812,240.462158203125,403.3150939941406,0.24422102320033434
Forest,318.10198974609375,558.294921875,240.19293212890625,418.8356399536133,0.23741829119905367
SnowIce,,,,,
