Season,Buildings_Mean_NSSR,Natural_Mean_NSSR,Delta_NSSR_Buildings_minus_Natural
Winter,318.7890930175781,310.62083435058594,8.168258666992188
Spring,464.4886474609375,457.8428649902344,6.645782470703125
Summer,562.5430297851562,554.5794372558594,7.963592529296875
Autumn,332.28076171875,324.61012268066406,7.6706390380859375
