Season,Fold,Rows,R2,MAE,RMSE
Autumn,1,84712,0.20480531454086304,10.940295219421387,14.568657224172366
Autumn,2,84712,0.20674222707748413,10.892355918884277,14.46098551028632
Autumn,3,84712,0.18551558256149292,10.893057823181152,14.512631932068805
Autumn,4,84711,0.2006920576095581,10.619739532470703,14.082281551173569
Autumn,5,84711,0.19285625219345093,10.80760669708252,14.34246541173846
