Season,Fold,Rows,R2,MAE,RMSE
Winter,1,84713,0.2149951457977295,9.849250793457031,13.26685398551034
Winter,2,84713,0.20346403121948242,9.80804443359375,13.19279539990927
Winter,3,84713,0.19121503829956055,9.797470092773438,12.994761071586394
Winter,4,84712,0.20790106058120728,9.504740715026855,12.54247726575233
Winter,5,84712,0.19485121965408325,9.79667854309082,12.928846625791575
